Name,Url,"Fork source","Creation date","Last update","Last version",Omeka.org,"Omeka constraint",Author,"Author link",License,Description,Tags,Link,"Support link","Ini path","Last released zip"
Sharing,https://github.com/omeka-s-modules/Sharing,,2015-12-15T16:44:26Z,2017-12-14T20:29:33Z,1.0.0,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Share and embed content on the web",,,https://forum.omeka.org/c/omeka-s/modules,,https://github.com/omeka-s-modules/Sharing/releases/download/v1.0.0/Sharing-1.0.0.zip
"Simple Block",https://github.com/zerocrates/SimpleBlock,,2018-06-21T17:26:54Z,2018-06-21T21:17:34Z,0.1.0,,^1.1.0,"John Flatness",https://github.com/zerocrates,,,,https://github.com/zerocrates/SimpleBlock,https://github.com/zerocrates/SimpleBlock/issues,,
Solr,https://github.com/biblibre/omeka-s-module-Solr,,2016-04-29T12:11:55Z,2018-09-24T03:49:59Z,0.4.0,,>=1.0.0,BibLibre,https://github.com/biblibre,,"Add Solr search adapter",,https://github.com/biblibre/omeka-s-module-Solr,,,https://github.com/biblibre/omeka-s-module-Solr/releases/download/v0.4.0/Solr-0.4.0.zip
Solr,https://github.com/Daniel-KM/omeka-s-module-Solr,https://github.com/biblibre/omeka-s-module-Solr,2018-01-08T09:54:45Z,2018-09-24T03:50:00Z,3.5.8,,^1.1.0,"BibLibre, improved by Daniel Berthereau",https://github.com/biblibre,CECILL-2.1,"Add Solr search adapter","Solr, Lucene, search, facet, filter, indexation, autocompletion",https://github.com/biblibre/omeka-s-module-Solr,https://github.com/biblibre/omeka-s-module-Solr/issues,,
SolrImprovements,https://github.com/pols12/omeka-s-module-SolrImprovements,,2018-08-08T18:28:52Z,2018-08-27T16:25:32Z,1.0.1-bib0.4.2,,,Pols12,https://github.com/pols12/,,"Ajoute la possibilité d’indexer une propriété spécifique d’une ressource liée. (En attendant l’intégration de la Pull Request.)",,https://github.com/biblibre/omeka-s-module-Solr/pull/13,,,
STest,https://github.com/patrickmj/STest,,2016-10-11T17:47:05Z,2016-10-18T21:26:43Z,1.0.0,,,"Patrick Murray-John",,,"Test a bunch of random stuff",,,,,
Storymap,https://github.com/agile-humanities/agile-storymap,,2018-04-11T15:35:35Z,2018-06-01T18:47:24Z,3.4.4,,^1.0.0,"Alan Stanley",https://github.com/Daniel-KM,"CeCILL v2.1","Integrate the Knightlab Storymap to create advanced storymaps from the geocordinates of items.","storymap, chronology",https://github.com/agile-humanities/agile-storymap,https://github.com/agile-humanities/agile-storymap/issues,,
Timeline,https://github.com/Daniel-KM/Omeka-S-module-Timeline,,2017-04-19T05:47:33Z,2018-07-03T08:48:15Z,3.4.7,,^1.1.0,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Integrate the Simile Timeline and the Knightlab Timeline to create advanced timelines from the dates of items.","timeline, chronology, data visualization",https://github.com/Daniel-KM/Omeka-S-module-Timeline,https://github.com/Daniel-KM/Omeka-S-module-Timeline/issues,,
unAPI,https://github.com/omeka-s-modules/UnApi,,2015-02-24T23:19:35Z,2018-06-18T06:33:24Z,1.0.0,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Make your item metadata discoverable using unAPI.",,,https://forum.omeka.org/c/omeka-s/modules,,https://github.com/omeka-s-modules/UnApi/releases/download/v1.0.0/UnApi-1.0.0.zip
"Universal Viewer",https://github.com/Daniel-KM/Omeka-S-module-UniversalViewer,,2017-02-23T20:39:20Z,2018-09-10T10:00:31Z,3.5.8,,^1.0.0,"Daniel Berthereau, Omeka S port by BibLibre",https://github.com/Daniel-KM,"CeCILL v2.1","Integrates the Universal Viewer in order to create carousels of virtual books from image files and to display any media file (pdf, audio, video, 3D...) in a unified player.","viewer, book, digital library",https://github.com/Daniel-KM/Omeka-S-module-UniversalViewer,https://github.com/Daniel-KM/Omeka-S-module-UniversalViewer/issues,,https://github.com/Daniel-KM/Omeka-S-module-UniversalViewer/releases/download/3.5.8/UniversalViewer.zip
"Upgrade from Omeka Classic",https://github.com/Daniel-KM/Omeka-S-module-UpgradeFromOmekaClassic,,2017-02-14T15:56:31Z,2018-06-25T04:57:15Z,3.1.1,,^1.1.0,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Add a compatibility layer to use Omeka Classic themes that were upgraded via the plugin Upgrade to Omeka Semantic.","omeka theme, compatibility layer",https://github.com/Daniel-KM/Omeka-S-module-UpgradeFromOmekaClassic,https://github.com/Daniel-KM/Omeka-S-module-UpgradeFromOmekaClassic/issues,,
"Value Suggest",https://github.com/omeka-s-modules/ValueSuggest,,2016-08-01T19:01:05Z,2018-10-12T14:44:39Z,1.1.1,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Describe your resources using auto-suggested values from controlled vocabulary services.",,,https://forum.omeka.org/c/omeka-s/modules,,https://github.com/omeka-s-modules/ValueSuggest/releases/download/v1.1.1/ValueSuggest-1.1.1.zip
"Zotero Import",https://github.com/omeka-s-modules/ZoteroImport,,2015-02-05T21:58:10Z,2018-05-30T20:44:23Z,1.0.0,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Import items and files from Zotero user and group libraries.",,,https://forum.omeka.org/c/omeka-s/modules,,https://github.com/omeka-s-modules/ZoteroImport/releases/download/v1.0.0/ZoteroImport-1.0.0.zip
